SA4,Nil repayments,$1-$149,$150-$299,$300-$449,$450-$599,$600-$799,$800-$999,"$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,799","$2,800-$2,999","$3,000-$3,499","$3,500-$3,999","$4,000-$4,999","$5,000 and over",Not stated,Not applicable,Total
Central Coast,1167,371,413,743,697,1162,1673,2030,2812,3016,3884,2986,5082,2644,1937,2863,1464,3538,1097,1656,1167,2638,107844,152870
Sydney - Baulkham Hills and Hawkesbury,1277,300,208,394,311,525,675,959,1011,1099,1305,1080,2681,1276,1525,1864,1267,5111,2789,4743,4592,2614,51873,89466
Sydney - Blacktown,1386,301,270,462,455,807,1103,1619,2157,2324,2990,2652,5424,3230,3475,3936,2506,7125,2555,2718,1682,3521,82831,135540
Sydney - City and Inner South,1163,265,157,306,245,433,613,898,1045,1100,1237,1089,2594,1298,1558,1688,1196,4034,2043,3513,3976,1789,146248,178493
Sydney - Eastern Suburbs,1235,208,137,220,200,287,433,594,546,584,674,469,1431,522,742,821,575,2350,1351,2728,6689,1889,97426,122105
Sydney - Inner South West,2257,536,402,805,731,1150,1611,2093,2593,2670,3193,2570,6094,2676,2642,3244,1969,6868,3051,4738,4178,4627,167199,227887
Sydney - Inner West,1210,272,224,328,285,466,623,888,988,1028,1203,1130,2701,1286,1471,1413,944,3525,1846,3637,5489,2106,100829,133899
Sydney - North Sydney and Hornsby,2150,473,292,474,406,595,776,1311,1297,1331,1486,1343,3434,1751,2061,1875,1353,5097,2849,5780,10991,3078,130327,180531
Sydney - Northern Beaches,1125,273,201,349,305,441,602,779,881,838,952,769,2003,939,1140,1246,916,3663,2118,4453,6954,2155,72014,105115
Sydney - Outer West and Blue Mountains,1112,335,346,602,509,993,1327,1802,2454,2674,3485,2917,5157,2984,2409,3392,1973,4562,1360,1661,1258,2593,84896,130809
Sydney - Outer South West,956,237,269,487,444,801,1101,1632,2120,2207,2945,2562,4786,2825,2472,3343,1852,4318,1368,1793,1192,2636,62085,104420
Sydney - Parramatta,1687,374,317,538,520,790,1186,1580,2105,2321,2914,2455,5369,2589,2756,2793,1609,5209,2082,3066,2386,3556,139866,188066
Sydney - Ryde,1009,236,147,232,185,322,434,614,637,713,765,744,1919,878,1079,1022,652,2388,1192,2475,3465,1584,60698,83400
Sydney - South West,1658,357,346,651,576,944,1356,1869,2403,2365,2961,2293,5379,2811,2761,3666,2139,6071,1958,2358,1458,3630,105896,155905
Sydney - Sutherland,846,252,200,352,314,481,674,901,1026,1078,1359,1202,2611,1375,1357,1893,1228,4424,2175,3560,3078,1870,58507,90775
